,Star Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,RA,DEC
54,HD 106516,22.35136343,0.4046625935,18.57,0.2,Wood2005,183.79398874999998,-10.312398611111112
55,HD 73350,24.34173854,0.0258338825,18.16,0.2,Wood2005,129.45955708333332,-6.8068824999999995
56,HD 128987,23.7584996,0.022183524840000003,18.11,0.2,Wood2005,220.1296095833333,-16.20929222222222
57,HD 85512,11.28466933,0.005170156959,18.43,0.125,Youngblood2016,147.77938333333333,-43.50278361111111
58,HD 40307,12.94118104,0.004622286946,18.6,0.08499999999999999,Youngblood2016,88.51767041666666,-60.023469722222224
59,HD 97658,21.57525232,0.025183090550000002,18.45,0.115,Youngblood2016,168.6381720833333,25.71038638888889
60,GJ 832,4.965063332,0.001057564526,18.2,0.03,Youngblood2016,323.39156208333327,-49.00900083333333
61,GJ 876,4.675805372,0.0016572272510000001,18.03,0.04,Youngblood2016,343.3197179166666,-14.263695277777778
62,GJ 581,6.299244343,0.002075289015,18.01,0.14500000000000002,Youngblood2016,229.86177958333332,-7.722275
63,GJ 176,9.473043035,0.006281698131,17.46,0.09,Youngblood2016,70.73239708333332,18.958165
64,GJ 436,9.755954791,0.008908721762,18.04,0.06,Youngblood2016,175.5462220833333,26.706571666666665
65,GJ 667C,7.245479002000001,0.004819221308,17.98,0.15,Youngblood2016,259.74511291666664,-34.99683666666667
66,GJ 1214,14.64158855,0.01397732294,18.06,0.66,Youngblood2016,258.82889124999997,4.963907222222223
67,HIP 112312,20.85866792,0.02310296233,18.28,0.02,Youngblood2021a,341.2415116666666,-33.250484722222225
68,HIP 17695,16.80217622,0.015950691319999998,17.81,0.01,Youngblood2021a,56.84725499999999,-1.9722069444444446
69,GJ 9827,29.68636357,0.053846217929999995,18.22,0.09,Carleo2021,351.7701566666666,-1.286273611111111
70,pi Men,18.2797979,0.02242153398,18.51,0.02,GarciaMunoz2020,84.29118791666667,-80.46911972222222
71,82 Eri,6.043391551,0.0069392903870000005,18.33,0.03,Youngblood2022,49.98187874999999,-43.0697825
72,HD 191408,6.015855387999999,0.0045455286450000005,18.28,0.02,Youngblood2022,302.79974333333325,-36.10120916666667
73,GJ 191,3.9335033389999996,0.00040692539649999997,17.98,0.33999999999999997,Youngblood2022,77.91912208333333,-45.018431388888885
74,GJ 411,2.54613015,0.00020809719419999996,17.84,0.03,Youngblood2022,165.83414499999998,35.969882222222225
75,GJ 699,1.826648834,0.0009672936805,17.72,0.03,Youngblood2022,269.4520820833333,4.693364166666667
76,Kepler 444,36.47811131,0.03925425208,18.65,0.25,Bourrier2017,289.75228666666663,41.63460583333333
77,TRAPPIST-1,12.42989539,0.018710228619999998,18.4,0.1,Wilson2021,346.6223683333333,-5.0413974999999995
